Name,days_served
GIEREK Adam,3633
GIESEKE Jens,0
GILL Nathan,0
GILL Neena,3646
GIRAUTA VIDAL Juan Carlos,0
GIRLING Julie,1813
GIUFFRIDA Michela,0
GLEZOS Emmanouil,185
GODDYN Sylvie,0
GOERENS Charles,2666
GOLLNISCH Bruno,9107
GOMES Ana,3633
GONZÁLEZ PONS Esteban,0
GOSIEWSKA Beata Barbara,0
GOULARD Sylvie,1813
GRAMMATIKAKIS Giorgos,0
de GRANDES PASCUAL Luis,3633
GRAPINI Maria,0
GRÄSSLE Ingeborg,3633
GRIESBECK Nathalie,3633
GRIFFIN Theresa,0
GRIGULE Iveta,0
GRÓBARCZYK Marek Józef,1813
GROOTE Matthias,3170
GROSSETÊTE Françoise,7287
GRZYB Andrzej,1892
GUALTIERI Roberto,1813
GUERRERO SALOM Enrique,1813
GUILLAUME Sylvie,1813
GUOGA Antanas,0
GUTELAND Jytte,0
GUTIÉRREZ PRIETO Sergio,1443
GYÜRK András,3713
HADJIGEORGIOU Takis,1813
HALLA-AHO Jussi,0
HÄNDEL Thomas,1813
HANNAN Daniel,5460
HARKIN Marian,3633
HARMS Rebecca,3633
HÄUSLING Martin,1813
HAUTALA Heidi,3712
HAYES Brian,0
HAZEKAMP Anja,0
HEDH Anna,3633
HELLVIG Eduard-Raul,642
HELMER Roger,5460
HENKEL Hans-Olaf,0
HERRANZ GARCÍA Esther,4544
HETMAN Krzysztof,0
HEUBUCH Maria,0
HOFFMANN Iris,0
HOHLMEIER Monika,1813
HÖKMARK Gunnar,3633
HÖLVÉNYI György,0
HONEYBALL Mary,5248
HOOKEM Mike,0
HORTEFEUX Brice,3282
HOWITT Richard,7287
HÜBNER Danuta Maria,1813
HUDGHTON Ian,5692
HUITEMA Jan,0
HYUSMENOVA Filiz,2738
IDE Louis,0
IGLESIAS Pablo,0
in 't VELD Sophia,3633
IOTOVA Iliana,2582
IVAN Cătălin Sorin,1813
IWASZKIEWICZ Robert Jarosław,0
JAAKONSAARI Liisa,1813
JÄÄTTEENMÄKI Anneli,3633
JACKIEWICZ Dawid Bohdan,0
JADOT Yannick,1813
JAHR Peter,1813
JAKOVČIĆ Ivan,0
JALKH Jean-François,0
JAMES Diane,0
JANSEN Hans,0
JÁUREGUI ATONDO Ramón,463
JÁVOR Benedek,0
JAZŁOWIECKA Danuta,1813
JEŽEK Petr,0
JIMÉNEZ-BECERRIL BARRIO Teresa,1813
JOLY Eva,1813
de JONG Dennis,1813
JONGERIUS Agnes,0
JOULAUD Marc,0
JUARISTI ABAUNZ Iosu,0
JUREK Marek,0
JUVIN Philippe,1813
KADENBACH Karin,1813
KAILI Eva,0
KALINOWSKI Jarosław,1813
KALLAS Kaja,0
KALNIETE Sandra,1813
KAMALL Syed,3337
KAMMEREVERT Petra,1813
KAPPEL Barbara,0
KARAS Othmar,5460
KARI Rina Ronja,146
KARIM Sajjad,3633
KARIŅŠ Krišjānis,1813
KARLSSON Rikke,0
KARSKI Karol,0
KATROUGKALOS Georgios,0
KAUFMANN Sylvia-Yvonne,3646
KEFALOGIANNIS Manolis,0
KELAM Tunne,3633
KELLER Jan,0
KELLER Ska,1813
KELLY Seán,1813
KHAN Afzal,0
KIRKHOPE Timothy,5460
KIRTON-DARLING Jude,0
KOCH Dieter-Lebrecht,7287
KOFOD Jeppe,0
KÖLMEL Bernd,0
KONEČNÁ Kateřina,79
KORWIN-MIKKE Janusz,0
KÓSA Ádám,1813
KÖSTER Dietmar,0
KÖSTINGER Elisabeth,1813
KOVÁCS Béla,1492
KOVATCHEV Andrey,1772
KOZŁOWSKA-RAJEWICZ Agnieszka,0
KRASNODĘBSKI Zdzisław,0
KREHL Constanze,7287
KUDRYCKA Barbara,1213
KUHN Werner,1813
KUKAN Eduard,1813
KUMPULA-NATRI Miapetra,0
KUNEVA Kostadinka,0
KUŹMIUK Zbigniew,1819
KYENGE Kashetu,0
KYLLÖNEN Merja,0
KYRKOS Miltiadis,0
KYRTSOS Georgios,0
KYUCHYUK Ilhan,0
LAMASSOURE Alain,6804
LAMBERT Jean,5460
LAMBERTS Philippe,1813
LAMBSDORFF Alexander Graf,3633
LANDSBERGIS Gabrielius,0
LANGE Bernd,5466
de LANGE Esther,2637
LANGEN Werner,7287
LAURISTIN Marju,0
LA VIA Giovanni,1813
LAVRILLEUX Jérôme,0
LEBRETON Gilles,0
LE GRIP Constance,1602
LEGUTKO Ryszard Antoni,1813
LE HYARIC Patrick,1813
LEICHTFRIED Jörg,3633
LEINEN Jo,5460
LENAERS Jeroen,0
LE PEN Jean-Marie,10467
LE PEN Marine,3633
LEWANDOWSKI Janusz,2110
LEWER Andrew,0
LIBERADZKI Bogusław,3713
LIESE Peter,7287
LIETZ Arne,0
LINS Norbert,0
LOCHBIHLER Barbara,1813
LOISEAU Philippe,0
LOPE FONTAGNÉ Verónica,1813
LÓPEZ Javi,0
LÓPEZ Paloma,0
LÓPEZ AGUILAR Juan Fernando,1813
LÓPEZ-ISTÚRIZ WHITE Antonio,3633
LÓPEZ Javi,0
LÖSING Sabine,1813
LÖVIN Isabella,1813
LUCKE Bernd,0
LUDVIGSSON Olle,1813
ŁUKACIJEWSKA Elżbieta Katarzyna,1813
LUNACEK Ulrike,1813
LUNDGREN Peter,0
ŁYBACKA Krystyna,0
McALLISTER David,0
McAVAN Linda,5894
McCLARKIN Emma,1813
McGUINNESS Mairead,3633
MACH Petr,0
McINTYRE Anthea,943
MACOVEI Monica Luisa,1813
MAEIJER Vicky,0
MALETIĆ Ivana,365
MALINOV Svetoslav Hristov,943
MALTESE Curzio,0
MAMIKINS Andrejs,0
MĂNESCU Ramona Nicole,2085
MAŇKA Vladimír,3633
MANN Thomas,7287
MANSCOUR Louis-Joseph,0
MARAGALL Ernest,0
MARIAS Notis,0
MARINESCU Marian-Jean,2738
MARINHO E PINTO António,0
MARTIN David,10934
MARTIN Dominique,0
MARTIN Edouard,0
MARTUSCIELLO Fulvio,0
MARUSIK Michał,0
MAŠTÁLKA Jiří,3713
MATERA Barbara,1813
MATIAS Marisa,1813
MATO Gabriel,1813
MAURA BARANDIARÁN Fernando,0
MAUREL Emmanuel,0
MAVRIDES Costas,0
MAYER Georg,0
MAZURONIS Valentinas,0
MEISSNER Gesine,1813
MÉLENCHON Jean-Luc,1813
MÉLIN Joëlle,0
MELIOR Susanne,0
MELO Nuno,1813
MESSERSCHMIDT Morten,1813
MESZERICS Tamás,0
METSOLA Roberta,432
MICHEL Louis,1813
MICHELS Martina,299
MIHAYLOVA Iskra,0
MIKOLÁŠIK Miroslav,3633
MILLÁN MON Francisco José,3633
van MILTENBURG Matthijs,0
MINEUR Anne-Marie,0
MIZZI Marlene,432
MLINAR Angelika,0
MOI Giulia,0
MOISĂ Ionel-Sorin,0
MOLNÁR Csaba,0
MONOT Bernard,0
MONTEIRO DE AGUIAR Cláudia,0
MONTEL Sophie,0
MOODY Clare,0
MORAES Claude,5460
MORANO Nadine,0
MORETTI Alessandra,0
MORGANO Luigi,0
MORIN-CHARTIER Elisabeth,2595
MORVAI Krisztina,1813
MOSCA Alessia Maria,0
MÜLLER Ulrike,0
MUREŞAN Siegfried,0
MUSELIER Renaud,0
MUSSOLINI Alessandra,1378
NAGY József,0
NART Javier,0
NEGRESCU Victor,0
NEKOV Momchil,0
NEUSER Norbert,1813
NEYTS-UYTTEBROECK Annemie,5438
NICA Dan,0
NICHOLSON James,9107
NICOLAI Norica,1813
NIEBLER Angelika,5460
NIEDERMAYER Luděk,0
NIEDERMÜLLER Péter,0
van NIEUWENHUIZEN Cora,0
NILSSON Jens,943
NÍ RIADA Liadh,0
van NISTELROOIJ Lambert,3633
NOICHL Maria,0
NUTTALL Paul,1813
OBERMAYR Franz,1813
O'FLYNN Patrick,0
OLBRYCHT Jan Marian,3633
OMARJEE Younous,909
OŻÓG Stanisław,0
PABRIKS Artis,0
PAGAZAURTUNDÚA RUIZ Maite,0
PAKSAS Rolandas,1813
PANZERI Pier Antonio,3633
PAOLUCCI Massimo,0
PAPADAKIS Demetris,0
PAPADAKIS Konstantinos,0
PAPADIMOULIS Dimitrios,1819
PARGNEAUX Gilles,1813
PARKER Margot,0
PAŞCU Ioan Mircea,2738
PATRICIELLO Aldo,2976
PAULSEN Marit,3639
PAUNOVA Eva,0
PEDICINI Piernicola,0
PEILLON Vincent,2915
